-72.0735	59.9045	-43	35	0.267034	0.961762	-43	36	
-15.7039	4.35659	-9	2	0.427323	0.615342	-9	3	
22.2585	-33.0524	13	-19	0.362167	0.84194	13	-20	
52.7016	-63.0517	31	-37	0.637738	0.851104	32	-38	
-68.4366	56.3206	-41	33	0.0837196	0.810275	-41	34	
-13.5613	2.24523	-8	1	0.141081	0.347849	-8	1	
24.0884	-34.8557	14	-20	0.460717	0.924477	14	-21	
52.0283	-62.3882	31	-37	0.233531	0.452789	31	-37	
-64.815	52.7518	-38	31	0.909608	0.667855	-39	32	
-11.4571	0.171738	-6	0	0.877915	0.103097	-7	0	
25.9188	-36.6594	15	-22	0.559551	0.00729232	16	-22	
50.2844	-60.6698	30	-36	0.186653	0.421171	30	-36	
-61.2587	49.2473	-36	29	0.774695	0.564064	-37	30	
-9.38809	-1.86713	-5	-1	0.635837	0.120875	-6	-1	
27.7501	-38.464	16	-23	0.658909	0.0906241	17	-23	
47.0134	-57.4464	28	-34	0.222993	0.486136	28	-34	
-57.7949	45.834	-34	27	0.695326	0.515006	-35	28	
-7.35107	-3.87446	-4	-2	0.41298	0.325906	-4	-2	
29.5823	-40.2695	17	-24	0.758817	0.174498	18	-24	
41.5872	-52.0993	24	-31	0.965544	0.276171	25	-31	

-43	32	-38	36	43	38

M is a 28340 x 2983 Matrix.

